"","state_ut","year","death_remanded","death_not_remanded","state_pca","district_pca","type","sc_order1","committee1","gdp","religion2","head_trans"
"207","Z DAMAN & DIU",2006,0,0,0,0,"0",1,0,63173.2423703158,1,0
"208","Z DELHI ",2006,0,1,0,0,"0",1,0,135584,1,0.777777778
"209","Z LAKSHADWEEP ",2006,0,0,0,0,"0",1,0,3674.32775610553,0,0
"210","Z PUDUCHERRY ",2006,0,0,0,0,"0",1,0,8335,1,0.603678319028339
"211","ANDHRA PRADESH",2007,18,5,0,0,"0",1,0,212361,1,0.409090909
"212","ARUNACHAL PRADESH ",2007,0,0,1,0,"go",1,0,4810,1,0.272727273
"213","ASSAM",2007,3,0,1,1,"act",1,0,71076,1,0.259259259
"214","BIHAR ",2007,0,0,0,1,"act",1,0,113680,1,1.19721380483041
"215","CHHATTISGARH ",2007,1,1,1,0,"act",1,0,80255,1,0.35
"216","GOA",2007,0,0,1,0,"go",1,0,19565,1,0
"217","GUJARAT ",2007,3,12,0,0,"0",1,0,329285,1,0.615384615
"218","HARYANA ",2007,0,0,0,0,"0",1,0,151596,1,5.01445926676449
"219","HIMACHAL PRADESH ",2007,0,0,0,1,"act",1,0,33963,1,0.416666667
"220","JAMMU & KASHMIR ",2007,3,1,0,0,"0",1,0,37099,0,0.3
"221","JHARKHAND",2007,0,0,1,1,"go",1,0,83950,1,1.045454545
"222","KARNATAKA ",2007,0,0,0,0,"0",1,0,270629,1,0.37037037
"223","KERALA ",2007,0,0,1,1,"act",1,0,175141,1,0.764705882
"224","MADHYA PRADESH",2007,3,8,0,0,"0",1,0,161479,1,0.583333333
"225","MAHARASHTRA",2007,18,8,0,0,"0",1,0,684817,1,3.05287201569624
"226","MANIPUR ",2007,0,0,1,1,"go",1,0,6783,1,0.111111111
"227","MEGHALAYA ",2007,2,0,0,0,"0",1,0,9735,1,0.142857143
"228","MIZORAM ",2007,1,0,0,0,"0",1,0,3816,1,1.37631881109217
"229","NAGALAND ",2007,0,3,1,0,"go",1,0,8075,1,0.272727273
"230","ORISSA ",2007,0,0,1,0,"go",1,0,129274,1,0.375
"231","PUNJAB ",2007,0,0,0,0,"0",1,0,152245,0,11
"232","RAJASTHAN ",2007,0,2,1,1,"act",1,0,194822,1,0
"233","SIKKIM ",2007,1,0,0,0,"0",1,0,2506,1,0.5
"234","TAMIL NADU ",2007,2,0,0,0,"0",1,0,350819,1,2.866666667
"235","TRIPURA ",2007,0,0,0,0,"0",1,0,11797,1,0
"236","UTTAR PRADESH ",2007,0,11,0,0,"0",1,0,383026,1,8.088888889
"237","UTTARAKHAND ",2007,0,0,0,0,"0",1,0,45856,1,0.846153846
"238","WEST BENGAL ",2007,2,8,0,0,"0",1,0,299483,1,0.111111111
"239","Z A & N ISLANDS",2007,0,0,0,0,"0",1,0,2990,1,0
"240","Z CHANDIGARH ",2007,0,1,0,0,"0",1,0,13669,1,0
"241","Z D & N HAVELI",2007,0,1,0,0,"0",1,0,6485.88775954195,1,0
"242","Z DAMAN & DIU",2007,0,0,0,0,"0",1,0,9905.8468075725,1,0
"243","Z DELHI ",2007,0,0,0,0,"0",1,0,157947,1,0.555555556
"244","Z LAKSHADWEEP ",2007,0,0,0,0,"0",1,0,73690.9845105858,0,0
"245","Z PUDUCHERRY ",2007,0,0,0,0,"0",1,0,9251,1,0
"246","ANDHRA PRADESH",2008,10,7,0,0,"0",1,1,237383,1,0.590909091
"247","ARUNACHAL PRADESH ",2008,3,0,1,0,"go",1,1,5687,1,0.636363636
"248","ASSAM",2008,2,0,1,1,"act",1,1,81074,1,0.185185185
"249","BIHAR ",2008,0,0,0,1,"act",1,1,142279,1,0.425
